"Post code","Prefecture name","City name","Ward name","Town name"
6530841,Hyogo,Kobe,Nagataku,Matsunodori
6530025,Hyogo,Kobe,Nagataku,Manocho
6530875,Hyogo,Kobe,Nagataku,Maruyamacho
6530014,Hyogo,Kobe,Nagataku,Mikuradori
6530842,Hyogo,Kobe,Nagataku,Mizukasadori
6530044,Hyogo,Kobe,Nagataku,Minamikomaecho
6530832,Hyogo,Kobe,Nagataku,Mifunedori
6530863,Hyogo,Kobe,Nagataku,Miyaokacho
6530813,Hyogo,Kobe,Nagataku,Miyagawacho
6530884,Hyogo,Kobe,Nagataku,Myosenjicho
6530852,Hyogo,Kobe,Nagataku,Yamashitacho
6530004,Hyogo,Kobe,Nagataku,Yombancho
6530002,Hyogo,Kobe,Nagataku,Rokubancho
6530038,Hyogo,Kobe,Nagataku,Wakamatsucho
6540000,Hyogo,Kobe,Sumaku,Ikanikeisaiganaibaai
6540038,Hyogo,Kobe,Sumaku,Aobacho
6540047,Hyogo,Kobe,Sumaku,Isonarecho
6540009,Hyogo,Kobe,Sumaku,Itayadocho
6540076,Hyogo,Kobe,Sumaku,Ichinotanicho
6540044,Hyogo,Kobe,Sumaku,Inabacho
6540004,Hyogo,Kobe,Sumaku,Eirakucho
6540023,Hyogo,Kobe,Sumaku,Ebisucho
6540026,Hyogo,Kobe,Sumaku,Oikecho
6540024,Hyogo,Kobe,Sumaku,Otacho
6540017,Hyogo,Kobe,Sumaku,Ote
6540013,Hyogo,Kobe,Sumaku,Otecho
6540015,Hyogo,Kobe,Sumaku,Okuyamahatacho
6540162,Hyogo,Kobe,Sumaku,Kaminotani
6540016,Hyogo,Kobe,Sumaku,Kamihosozawacho
6540005,Hyogo,Kobe,Sumaku,Kawakamicho
6540008,Hyogo,Kobe,Sumaku,Kikuikecho
6540151,Hyogo,Kobe,Sumaku,Kitaochiai
6540064,Hyogo,Kobe,Sumaku,Kitamachi
6540048,Hyogo,Kobe,Sumaku,Kinugakecho
6540111,Hyogo,Kobe,Sumaku,Kuruma
6540042,Hyogo,Kobe,Sumaku,Koderacho
6540031,Hyogo,Kobe,Sumaku,Gongencho
6540066,Hyogo,Kobe,Sumaku,Sakuragicho
6540114,Hyogo,Kobe,Sumaku,Sakuranomori
6540075,Hyogo,Kobe,Sumaku,Shiomidaicho
6540123,Hyogo,Kobe,Sumaku,Shimizudai
6540101,Hyogo,Kobe,Sumaku,Shirakawa
6540103,Hyogo,Kobe,Sumaku,Shirakawadai
6540003,Hyogo,Kobe,Sumaku,Jimbucho
6540143,Hyogo,Kobe,Sumaku,Suganodai
6540055,Hyogo,Kobe,Sumaku,Sumauradori
6540071,Hyogo,Kobe,Sumaku,Sumaderacho
6540054,Hyogo,Kobe,Sumaku,Sumahommachi
6540073,Hyogo,Kobe,Sumaku,Sekimoricho
6540001,Hyogo,Kobe,Sumaku,Zenshojicho
6540043,Hyogo,Kobe,Sumaku,Sotohamacho
6540022,Hyogo,Kobe,Sumaku,Daikokucho
6540133,Hyogo,Kobe,Sumaku,Tainohata
6540134,Hyogo,Kobe,Sumaku,Tainohatahigashimachi
6540132,Hyogo,Kobe,Sumaku,Tainohataminamimachi
6540061,Hyogo,Kobe,Sumaku,Takaodai
6540081,Hyogo,Kobe,Sumaku,Takakuradai
6540074,Hyogo,Kobe,Sumaku,Takakuracho
6540039,Hyogo,Kobe,Sumaku,Takatoricho
6540027,Hyogo,Kobe,Sumaku,Chitosecho
6540072,Hyogo,Kobe,Sumaku,Chimoricho
6540063,Hyogo,Kobe,Sumaku,Tsukimiyamacho
6540051,Hyogo,Kobe,Sumaku,Tsukimiyamahommachi
6540025,Hyogo,Kobe,Sumaku,Teradacho
6540053,Hyogo,Kobe,Sumaku,Tenjincho
6540122,Hyogo,Kobe,Sumaku,Doshodai
